,amp
1208,-1.440999082
1209,-1.44005964
1210,-1.438426741
1211,-1.436106866
1212,-1.433107278
1213,-1.429436008
1214,-1.425101837
1215,-1.42011428
1216,-1.414483561
1217,-1.408220594
1218,-1.401336961
1219,-1.393844886
1220,-1.385757214
1221,-1.377087379
1222,-1.367849382
1223,-1.358057761
1224,-1.347727563
1225,-1.336874316
1226,-1.325513994
1227,-1.313662994
1228,-1.301338097
1229,-1.288556443
1230,-1.275335496
1231,-1.261693012
1232,-1.247647007
1233,-1.233215724
1234,-1.218417605
1235,-1.203271251
1236,-1.187795396
1237,-1.172008872
1238,-1.15593058
1239,-1.139579456
1240,-1.122974441
1241,-1.106134451
1242,-1.089078347
1243,-1.071824905
1244,-1.054392789
1245,-1.036800523
1246,-1.019066462
1247,-1.001208767
1248,-0.983245381
1249,-0.965194003
1250,-0.947072066
1251,-0.928896712
1252,-0.910684774
1253,-0.892452753
1254,-0.8742168
1255,-0.8559927
1256,-0.837795849
1257,-0.819641245
1258,-0.801543469
1259,-0.783516676
1260,-0.765574575
1261,-0.747730426
1262,-0.729997027
1263,-0.712386702
1264,-0.694911299
1265,-0.67758218
1266,-0.660410216
1267,-0.643405784
1268,-0.626578764
1269,-0.609938534
1270,-0.593493974
1271,-0.577253461
1272,-0.561224873
1273,-0.545415591
1274,-0.5298325
1275,-0.514481997
1276,-0.499369988
1277,-0.484501903
1278,-0.469882695
1279,-0.45551685
1280,-0.441408396
1281,-0.427560908
1282,-0.413977521
1283,-0.400660935
1284,-0.38761343
1285,-0.374836874
1286,-0.362332733
1287,-0.350102088
1288,-0.338145639
1289,-0.326463724
1290,-0.315056328
1291,-0.303923097
1292,-0.29306335
1293,-0.282476094
1294,-0.272160036
1295,-0.262113598
1296,-0.252334925
1297,-0.242821909
1298,-0.23357219
1299,-0.224583181
1300,-0.215852072
1301,-0.207375851
1302,-0.19915131
1303,-0.191175065
1304,-0.183443563
1305,-0.1759531
1306,-0.168699828
1307,-0.16167977
1308,-0.154888835
1309,-0.148322822
1310,-0.141977439
1311,-0.13584831
1312,-0.129930987
1313,-0.124220959
1314,-0.118713664
1315,-0.113404498
1316,-0.108288823
1317,-0.10336198
1318,-0.098619292
1319,-0.094056076
1320,-0.089667651
1321,-0.085449343
1322,-0.081396495
1323,-0.077504472
1324,-0.073768667
1325,-0.07018451
1326,-0.066747468
1327,-0.063453056
1328,-0.060296841
1329,-0.057274443
1330,-0.054381542
1331,-0.051613883
1332,-0.048967275
1333,-0.046437601
1334,-0.044020814
1335,-0.041712945
1336,-0.039510102
1337,-0.037408475
1338,-0.035404335
1339,-0.033494035
1340,-0.031674016
1341,-0.029940804
1342,-0.028291011
1343,-0.026721337
1344,-0.02522857
1345,-0.023809586
1346,-0.022461349
1347,-0.021180911
1348,-0.019965412
1349,-0.018812078
1350,-0.017718221
1351,-0.016681242
1352,-0.015698623
1353,-0.014767932
1354,-0.013886818
1355,-0.013053014
1356,-0.012264331
1357,-0.011518659
1358,-0.010813967
1359,-0.010148298
1360,-0.00951977
1361,-0.008926573
1362,-0.00836697
1363,-0.007839291
1364,-0.007341934
1365,-0.006873364
1366,-0.006432109
1367,-0.00601676
1368,-0.005625966
1369,-0.005258438
1370,-0.004912943
1371,-0.004588301
1372,-0.004283387
1373,-0.003997128
1374,-0.003728499
1375,-0.003476525
1376,-0.003240276
1377,-0.003018867
1378,-0.002811456
1379,-0.002617243
1380,-0.002435466
1381,-0.002265404
1382,-0.002106369
1383,-0.001957712
1384,-0.001818815
1385,-0.001689093
1386,-0.001567993
1387,-0.001454991
1388,-0.00134959
1389,-0.001251321
1390,-0.001159742
1391,-0.001074433
1392,-0.000994999
1393,-0.000921068
1394,-0.000852288
1395,-0.000788327
1396,-0.000728873
1397,-0.000673633
1398,-0.000622329
1399,-0.000574702
1400,-0.000530506
1401,-0.000489513
1402,-0.000451505
1403,-0.000416282
1404,-0.000383653
1405,-0.000353439
1406,-0.000325474
1407,-0.000299601
1408,-0.000275674
1409,-0.000253556
1410,-0.00023312
1411,-0.000214244
1412,-0.000196818
1413,-0.000180736
1414,-0.000165902
1415,-0.000152225
1416,-0.000139619
1417,-0.000128005
1418,-0.000117311
1419,-0.000107467
1420,-9.84E-05
1421,-9.01E-05
1422,-8.24E-05
1423,-7.54E-05
1424,-6.89E-05
1425,-6.30E-05
1426,-5.75E-05
1427,-5.25E-05
1428,-4.80E-05
1429,-4.38E-05
1430,-3.99E-05
1431,-3.64E-05
1432,-3.32E-05
1433,-3.02E-05
1434,-2.75E-05
1435,-2.50E-05
1436,-2.28E-05
1437,-2.07E-05
1438,-1.88E-05
1439,-1.71E-05
1440,-1.55E-05
1441,-1.41E-05
1442,-1.28E-05
1443,-1.16E-05
1444,-1.05E-05
1445,-9.56E-06
1446,-8.66E-06
1447,-7.85E-06
1448,-7.11E-06
1449,-6.43E-06
1450,-5.82E-06
1451,-5.26E-06
1452,-4.76E-06
1453,-4.30E-06
1454,-3.88E-06
1455,-3.51E-06
1456,-3.17E-06
1457,-2.86E-06
1458,-2.58E-06
1459,-2.32E-06
1460,-2.09E-06
1461,-1.88E-06
1462,-1.70E-06
1463,-1.53E-06
1464,-1.37E-06
1465,-1.24E-06
1466,-1.11E-06
1467,-9.99E-07
1468,-8.97E-07
1469,-8.05E-07
1470,-7.23E-07
1471,-6.49E-07
1472,-5.82E-07
1473,-5.21E-07
1474,-4.67E-07
1475,-4.19E-07
1476,-3.75E-07
1477,-3.35E-07
1478,-3.00E-07
1479,-2.68E-07
1480,-2.40E-07
1481,-2.14E-07
1482,-1.91E-07
1483,-1.71E-07
1484,-1.53E-07
1485,-1.36E-07
1486,-1.21E-07
1487,-1.08E-07
1488,-9.64E-08
1489,-8.59E-08
1490,-7.65E-08
1491,-6.81E-08
1492,-6.06E-08
1493,-5.39E-08
1494,-4.79E-08
1495,-4.25E-08
1496,-3.78E-08
1497,-3.36E-08
1498,-2.98E-08
1499,-2.64E-08
1500,-2.34E-08
1501,-2.08E-08
1502,-1.84E-08
1503,-1.63E-08
1504,-1.44E-08
1505,-1.28E-08
1506,-1.13E-08
1507,-9.99E-09
1508,-8.83E-09
1509,-7.81E-09
1510,-6.90E-09
1511,-6.09E-09
1512,-5.37E-09
1513,-4.74E-09
1514,-4.18E-09
1515,-3.68E-09
1516,-3.25E-09
1517,-2.86E-09
1518,-2.52E-09
1519,-2.22E-09
1520,-1.95E-09
1521,-1.71E-09
1522,-1.51E-09
1523,-1.32E-09
1524,-1.16E-09
1525,-1.02E-09
1526,-8.96E-10
1527,-7.86E-10
1528,-6.89E-10
1529,-6.04E-10
1530,-5.30E-10
1531,-4.64E-10
1532,-4.06E-10
1533,-3.55E-10
1534,-3.11E-10
1535,-2.72E-10
1536,-2.38E-10
1537,-2.08E-10
1538,-1.81E-10
1539,-1.58E-10
1540,-1.38E-10
1541,-1.21E-10
1542,-1.05E-10
1543,-9.17E-11
1544,-7.98E-11
1545,-6.96E-11
1546,-6.06E-11
1547,-5.27E-11
1548,-4.58E-11
1549,-4.00E-11
1550,-3.45E-11
1551,-3.02E-11
1552,-2.61E-11
1553,-2.28E-11
1554,-1.96E-11
1555,-1.71E-11
1556,-1.47E-11
1557,-1.30E-11
1558,-1.11E-11
1559,-9.76E-12
1560,-8.29E-12
1561,-7.26E-12
1562,-6.06E-12
1563,-5.54E-12
1564,-4.72E-12
1565,-4.04E-12
1566,-3.35E-12
1567,-3.04E-12
1568,-2.63E-12
1569,-2.32E-12
1570,-1.93E-12
1571,-1.59E-12
1572,-1.43E-12
1573,-1.27E-12
1574,-1.02E-12
1575,-9.11E-13
1576,-7.94E-13
